,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
COL27A1,-0.07442175821927573,0.006813898853660367,0.040969645006185745,-0.12786352123314856,-0.020549080485511045
RP11-802O23.3,-0.07472938152739371,0.006587033641227556,0.03973131402645193,-0.12816779543343254,-0.02085829161573847
ZNF669,-0.07473519698932518,0.006582810974458754,0.03973131402645193,-0.12817354748529886,-0.020864137193894974
ADIRF,-0.07540002087498136,0.006115800970115813,0.037605248683560015,-0.12883109863168726,-0.021532428247492633
A2M,-0.07540002088286153,0.0061158009647616,0.037605248683560015,-0.12883109863948092,-0.02153242825541418
CPNE3,-0.0761507606605952,0.005624428738415289,0.03515267961509556,-0.129573569334235,-0.022287141142949843
TIMP1,-0.07617700466619447,0.005607913815202866,0.03515267961509556,-0.12959952318951068,-0.022313525149236516
CRIP1,-0.07779724297131042,0.004669120018455902,0.030072298423953266,-0.13120170660038966,-0.02394255205523234
H2AFX,-0.07809527992676828,0.004512779821237868,0.02926375993294181,-0.13149639204821967,-0.024242236787578492
NKG7,-0.07854407742749106,0.004286278222403369,0.028179683815108655,-0.13194012489173287,-0.0246935338470589
MIR210HG,-0.0785891960495206,0.004264086664656477,0.028131127301553142,-0.1319847331685904,-0.024738904969578222
METTL7B,-0.07860792494797919,0.004254905466993446,0.028131127301553142,-0.13200325015745576,-0.024757738747033624
HLX,-0.07890930749174757,0.004109604255944252,0.027301566735293985,-0.13230121756008512,-0.025060814244345524
YRDC,-0.07923849493903178,0.003956047407842853,0.026501259585758434,-0.13262666376693596,-0.025391862144475055
ANKRD28,-0.0792445040076112,0.003953293345164222,0.026501259585758434,-0.1326326044350079,-0.025397905283979096
SSBP3,-0.07948411268714568,0.003844883097579158,0.025997430197154447,-0.1328694825518301,-0.025638875732156577
F12,-0.07971825634446808,0.00374155792053355,0.02538914303219195,-0.13310095203393385,-0.02587435614380184
KIAA1324,-0.07976250468405692,0.0037223170831607224,0.02534911275270743,-0.1331446943551263,-0.025918857773811806
KLHDC4,-0.0798651836864309,0.003678013944070218,0.02513750537314178,-0.13324619833223345,-0.026022125362978304
WDR62,-0.08051462728563909,0.0034087123770310092,0.023465773609996077,-0.13388818396838303,-0.026675318389138804
ADAM8,-0.08087221126628526,0.0032682078667089394,0.022580345260898124,-0.13424164246818135,-0.027034986433108702
RP11-347P5.1,-0.08180166877047851,0.002927295707189744,0.020373120306448767,-0.13516031321265037,-0.027969926189583612
DNAJB1,-0.08231572508638223,0.002752980388972955,0.019276990833645577,-0.13566836428312,-0.02848705503528328
COL5A2,-0.0827159900664329,0.0026238662872428617,0.018671707662027855,-0.13606393390823668,-0.028889732364048456
HERC5,-0.08320782983112802,0.002472790383869716,0.017909757572559876,-0.1365499807975491,-0.029384560311777108
AC009005.2,-0.08398375412715049,0.0022505441585019357,0.0163832716519298,-0.1373167140648893,-0.030165252393141717
C18orf54,-0.084088744008947,0.0022219180222322146,0.01623709323938926,-0.13742045540496706,-0.030270892445005856
ILF3-AS1,-0.08417104584942726,0.002199711303394312,0.016199424327322454,-0.13750177769227367,-0.030353704796145405
ERV3-1,-0.0842398306250842,0.0021813077807786244,0.016126399935717458,-0.13756974324276885,-0.0304229168041475
ATP1B3,-0.08515065264975231,0.0019505474213163574,0.01453349059020031,-0.13846967004672533,-0.03133944474217127
FILIP1L,-0.08524200676964729,0.0019286827374686078,0.014427154335395096,-0.138559926533561,-0.03143137615051695
PLAC8,-0.08531364097213354,0.001911695254401661,0.014356604677324726,-0.1386306994211334,-0.03150346366346545
COX19,-0.08534335234522188,0.0019046897777458415,0.014356604677324726,-0.1386600533910079,-0.03153336321820031
