,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
RIN1,0.03705719155141432,0.05535787648609725,0.17878475583945885,-0.0008495703307920767,0.0748576095330204
AC002451.3,0.03702297210387753,0.055583651657617084,0.1792157273545428,-0.0008838367650637911,0.07482353500326355
IFITM1,0.03680094894251899,0.05706722469673984,0.1830867489857389,-0.001106162624006381,0.07460244995534786
PXN,0.03664940224891275,0.05809865449605715,0.185781694195794,-0.0012579137784984916,0.07445154145736267
MAN2A2,0.03646853234591958,0.05934987172123587,0.18904001423985403,-0.0014390254188332376,0.07427143097000274
C17orf103,0.036390340983396885,0.0598976577786673,0.1899695322686164,-0.0015173205162339806,0.07419356714477959
FAM134C,0.03637635596753232,0.05999607311562394,0.18997125272010776,-0.0015313240367364567,0.07417964066242454
AP4E1,0.03589141684193779,0.06349245010185549,0.19845224741980919,-0.002016895626346506,0.07369672210231082
ASCL2,0.03583580489969015,0.06390394887468985,0.19941730669738425,-0.0020725789559030926,0.07364134074166395
FRAT1,0.035749356603848016,0.06454798811767123,0.20110376394285692,-0.0021591377559724814,0.0735552504200225
DPF2,0.0355570056000766,0.0660002194289174,0.20497028145844587,-0.0023517325980620153,0.07336369390189733
ASGR2,0.03553962351177606,0.06613276761317692,0.2050538369603457,-0.0023691365826292708,0.07334638347105679
SLC15A3,0.03532015275575652,0.06782528752683963,0.20896648109459637,-0.002588881831047824,0.07312781552104522
GPR27,0.03518337053337037,0.06889802256493795,0.21150615380902618,-0.0027258332752785413,0.0729915941234109
SLC46A2,0.035173432283866206,0.0689765045652311,0.21150615380902618,-0.002735783764598845,0.0729816965670395
IFI44L,0.035134672235112414,0.0692832928738637,0.21211178465010952,-0.0027745914779818445,0.0729430951539282
MCTP2,0.034987601778471364,0.07045756702590711,0.21502851823472593,-0.002921841753847825,0.07279662559125778
RP11-334C17.5,0.034947992620786864,0.0707765973600541,0.21532503993082286,-0.002961499059622832,0.07275717798815112
WDFY3,0.034931380093179934,0.07091075417620381,0.21539557723945474,-0.0029781317455888985,0.07274063318314464
NFKBIZ,0.03483965488579275,0.07165525006907521,0.21731693810011715,-0.0030699678786730343,0.0726492815279257
TUBGCP6,0.034784352206211795,0.07210720336187607,0.21834646135008026,-0.0031253371282419272,0.07259420376271557
NOL3,0.03472115185761681,0.07262655281372683,0.21922457335773468,-0.003188613268948921,0.07253126016571391
LMO2,0.034706623827749174,0.07274636851475391,0.21922457335773468,-0.0032031586784358216,0.07251679111343377
