"","Sunitinib_5","Pazopanib_199","Axitinib_1021","Cabozantinib_249","Temsirolimus_1016"
"TCGA-BP-4985-01",15.6336959147095,22.9048501297709,10.4131987748531,20.697763945027,0.105002453264474
"TCGA-CW-5589-01",16.8982289793853,26.3978043504928,9.00912201611724,18.7244558238504,0.178397782084092
"TCGA-BP-4989-01",9.25917969423857,23.6224923992585,4.40620362510318,9.08315545120226,0.0528868982680906
"TCGA-B0-4714-01",12.9690201751721,25.7098570664753,6.98468788929137,12.1704797806814,0.0952628717839339
"TCGA-DV-5573-01",14.6409291807061,30.6018149826409,8.21263450169311,15.5285846902682,0.124577749917302
"TCGA-CZ-5469-01",29.3171337181643,31.4846137348101,13.3179233016241,14.3575140039487,0.161235302795177
"TCGA-CJ-6027-01",11.8532272811368,35.2233868897818,7.14919401281365,17.0560130543434,0.0750788834029346
"TCGA-BP-5007-01",15.1829546023143,26.2906091994609,9.74439607758613,16.2212562471734,0.160957648374411
"TCGA-BP-4967-01",16.6580942163019,36.1501766820679,10.226017262851,18.6226191800589,0.201518905751989
"TCGA-CJ-5683-01",23.5516207513575,26.9091071712788,8.14924705748152,25.2080759435702,0.141313248861992
"TCGA-CZ-5986-01",8.98880623093224,23.1283481763269,7.51198483588156,18.8852627734341,0.218714255209189
"TCGA-CJ-4639-01",10.6961662193893,26.851642743076,6.64340926967009,12.1382752486546,0.0907458177269644
"TCGA-BP-5176-01",19.7121695094487,23.5668019331811,10.5333532884708,22.0258590745618,0.113956002664362
"TCGA-B4-5834-01",11.5536304284534,20.9348617355835,6.39665793443564,15.1086572057744,0.138290513029057
"TCGA-CZ-5467-01",12.5736862448106,15.7880409821908,7.86896854791751,15.024303061368,0.187587432743078
"TCGA-CJ-4889-01",10.0688278499056,22.9466319102208,5.40456535434245,10.0561521652168,0.104955825077758
"TCGA-B0-5692-01",17.1874704294724,31.0855989372606,10.9848361136581,14.6759143439824,0.0928602572816562
"TCGA-AK-3425-01",13.3189021823917,16.0353713607589,8.04895626555278,16.3499649262458,0.123565907991014
"TCGA-CZ-4853-01",22.2169023768425,41.7653538224262,13.7189648000884,24.2623647603645,0.194846556605562
"TCGA-BP-5195-01",10.597862026762,18.3749308007889,6.04921698938167,13.0353163083146,0.131227929612771
"TCGA-B0-5691-01",13.0068917643608,27.7343667273792,7.82822223439398,16.0517759402045,0.17744536784536
"TCGA-BP-4971-01",10.9225050521004,18.5237811280338,5.07017375585921,10.5112579942817,0.126866174394175
"TCGA-BP-4959-01",15.7919296559417,38.6979970359646,12.0768875715899,21.5084709362335,0.19497704605168
"TCGA-CJ-4884-01",13.4828919479354,27.5417057339411,8.16514984642436,15.3822373461658,0.0780783990780869
"TCGA-CJ-4888-01",8.43431117730194,28.761448676719,5.09326114564351,12.0117217953921,0.0325021296987522
"TCGA-EU-5907-01",22.2261918536872,48.9154832869645,11.1848078162605,32.9492993539263,0.137063662232441
"TCGA-AK-3458-01",36.3054187876175,29.5740966589871,12.0809252647292,28.0527237008968,0.130104493283046
"TCGA-EU-5904-01",13.3251775731034,24.7494399530328,8.63312200414074,16.2029975381718,0.127060678874907
"TCGA-A3-3357-01",12.2704354695924,40.2085271670937,13.8493328010626,21.4906914107508,0.127271960580057
"TCGA-CJ-4899-01",10.3971888137775,21.0337741215139,5.69897635398367,13.903530277285,0.180425545383811
"TCGA-A3-3322-01",12.8159884699863,23.7985753345284,7.05360198254377,17.6090277600509,0.219912297694052
"TCGA-CZ-5466-01",12.276825131924,23.4708216947843,7.38472646886029,15.9579395511375,0.119637554181139
"TCGA-B0-4712-01",16.3813332312874,23.2495920987644,9.47614666495125,21.7854756511196,0.0797083249338104
"TCGA-BP-4756-01",21.5580311356405,46.2499795969679,9.87163226022999,26.8818128297614,0.187157932851319
"TCGA-B0-4845-01",17.0324086658642,23.8458201944656,6.79524174209804,17.0155912409791,0.171233018510422
"TCGA-CZ-5982-01",13.0830356835336,22.3076336663708,7.78631059236524,17.1975507079267,0.196355157233358
"TCGA-BP-5181-01",15.7676033139743,25.9393491742405,10.7078191700405,19.3977580068005,0.162470464284136
