Term,tag %,gene %,fdr,es,nes,lead_genes
ZNF395 human tf ARCHS4 coexpression,27/78,26.94%,0.927720107,-0.212530985,-0.837120522,VIM;SUN2;FAM168B;KLF13;PEX6;ATP2A3;ATP2B4;SYVN1;SH3GLB2;TUBGCP6;GIGYF1;HTT;TPCN1;PHKA2;SEMA4B;CUL9;NDRG1;HK2;PHF21A;BTBD2;SLC38A10;MAPKBP1;KMT2B;REPIN1;TMEM259;AHSA2;CIC
ZNF335 human tf ARCHS4 coexpression,31/120,20.85%,0.924804392,-0.205831277,-0.839068925,ANKRD13D;STXBP2;SUN2;NLRC5;RPS6KA1;GRK6;PSTPIP1;PIK3CD;KLF13;ATP2A3;RNF166;DGKQ;TUBGCP6;SETD1B;ATXN7L3;PTK2B;GIGYF1;UPF1;PSD4;FGD3;PPP1R12C;TNK2;CLCN7;MBD6;REXO1;ZBTB7B;PRKD2;CUL9;SIPA1;SEC16A;MYO1G
ZKSCAN5 human tf ARCHS4 coexpression,24-Apr,14.84%,0.923240459,-0.287493415,-0.8404314,STMN1;ZNF639;NEDD1;TTC21B
ZNF841 human tf ARCHS4 coexpression,27-Jun,14.99%,0.921886479,-0.284423844,-0.841903585,SIDT1;LRIG2;SOX4;WDPCP;ZDHHC17;SLC39A9
RC3H2 human tf ARCHS4 coexpression,Oct-54,16.48%,0.921726642,-0.238794301,-0.84279052,ALOX5AP;FAR1;FAM168B;POLE4;FRY;ITPK1;ZBTB18;ZDHHC20;ANKRD50;SPOPL
ZNF75A human tf ARCHS4 coexpression,Feb-35,1.86%,0.921157908,-0.270488584,-0.843883836,SERPINB10;MTRNR2L1
ZFHX3 human tf ARCHS4 coexpression,May-35,11.76%,0.91724256,-0.262279301,-0.84669783,MTRNR2L1;RHOB;IRS2;WDPCP;COL9A3
ZNF644 human tf ARCHS4 coexpression,19-Jan,0.30%,0.916929076,-0.311294945,-0.847630487,STMN1
ZNF174 human tf ARCHS4 coexpression,18-May,10.31%,0.909974103,-0.290797012,-0.851478961,DUT;SLBP;GMEB2;HEBP2;SLC2A13
ZNF34 human tf ARCHS4 coexpression,20-Feb,7.23%,0.910420734,-0.298462657,-0.852015491,STMN1;ZDHHC2
GMEB2 human tf ARCHS4 coexpression,36/102,27.28%,0.910263138,-0.22001809,-0.852910455,SUN2;GRK6;KLF13;ATP2A3;DUS1L;NADK;CENPB;RNF166;FLOT2;SETD1B;ATXN7L3;HDAC7;PPP1R12C;LONP1;CLCN7;NCLN;REXO1;GTPBP6;ZBTB7B;PRKD2;SIPA1;SEC16A;MYO1G;SMG5;VPS18;PXN;ABCA7;KMT2B;REPIN1;GATAD2A;MBOAT7;NBEAL2;TMEM259;XPO6;CIC;ENGASE
HOXD9 human tf ARCHS4 coexpression,13/28,26.41%,0.9114644,-0.280769344,-0.853055977,ANXA1;GSK3A;ZNF786;UBE2M;HDAC7;NCOA6;NCLN;ANKRD52;CEBPE;BTBD2;LRP3;KMT2B;ENDOG
ZNF449 human tf ARCHS4 coexpression,24-Jan,0.30%,0.909459899,-0.284374377,-0.854868327,STMN1
GLIS2 human tf ARCHS4 coexpression,17/41,29.26%,0.910639645,-0.261796747,-0.85510028,PLBD2;CKAP4;TRAM2;CENPB;AKT1S1;PTOV1;ANKRD52;ZCCHC24;QSOX1;BTBD2;FAM65A;LRP3;CIC;PDLIM7;FZD2;DVL3;ZDHHC8
ZNF707 human tf ARCHS4 coexpression,15-Jul,23.71%,0.906527688,-0.327749747,-0.857635418,ANKRD13D;HEBP2;DGKQ;KRI1;SLC38A10;ZNF333;DDX20
ZNF521 human tf ARCHS4 coexpression,16-Feb,6.89%,0.907535271,-0.322073613,-0.858022006,STMN1;WLS
ZNF404 human tf ARCHS4 coexpression,17-Jan,0.30%,0.908864859,-0.33112532,-0.858201657,STMN1
